window_id,timestamp,version,drift
0,1970-01-01 00:06:00,1,0
1,1970-01-15 19:40:00,1,0
2,1970-02-04 15:41:00,1,0
3,1970-02-22 00:16:00,1,0
4,1970-03-08 16:37:00,1,0
5,1970-04-02 00:55:00,1,0
6,1970-04-25 09:41:00,1,0
7,1970-05-15 06:51:00,1,0
8,1970-06-03 10:19:00,1,0
9,1970-06-21 19:55:00,1,0
10,1970-07-09 02:55:00,1,0
11,1970-07-27 07:39:00,1,0
12,1970-08-12 15:02:00,1,0
13,1970-09-01 23:15:00,1,0
14,1970-09-21 02:31:00,1,0
15,1970-10-06 22:19:00,1,1
16,1974-01-16 04:05:00,1,0
17,1974-02-03 06:45:00,1,0
18,1974-02-23 01:22:00,1,0
19,1974-03-14 23:25:00,1,0
20,1974-04-06 13:36:00,1,0
21,1974-04-30 21:23:00,1,0
22,1974-05-23 02:20:00,1,0
23,1974-06-08 02:21:00,1,0
24,1974-06-29 01:27:00,1,0
25,1974-07-22 04:22:00,1,0
26,1974-08-10 01:47:00,1,0
27,1974-08-30 05:03:00,1,0
28,1974-09-19 17:36:00,1,0
29,1974-10-10 04:23:00,1,0
30,1974-11-04 06:59:00,2,1
31,1976-01-12 21:57:00,2,0
32,1976-02-05 18:59:00,2,0
33,1976-03-02 16:26:00,2,0
34,1976-03-23 05:34:00,2,0
35,1976-04-16 02:58:00,2,0
36,1976-05-07 13:07:00,2,0
37,1976-06-05 02:25:00,2,0
38,1976-06-23 05:11:00,2,0
39,1976-07-18 00:54:00,2,0
40,1976-08-11 23:21:00,2,0
41,1976-09-07 04:49:00,2,0
42,1976-10-06 09:25:00,2,0
43,1976-10-31 09:51:00,2,0
44,1976-11-20 19:30:00,2,1
45,1976-12-14 16:44:00,1,0
46,1978-01-07 07:32:00,0,0
47,1978-01-19 08:13:00,1,0
48,1978-02-06 12:26:00,1,0
49,1978-02-26 22:12:00,1,0
50,1978-03-20 18:55:00,1,0
51,1978-04-06 18:43:00,1,0
52,1978-04-25 09:11:00,1,0
53,1978-05-11 21:11:00,1,0
54,1978-06-06 18:13:00,1,0
55,1978-06-27 01:33:00,1,0
56,1978-07-12 22:15:00,1,0
57,1978-07-28 21:44:00,1,0
58,1978-08-14 22:13:00,1,0
59,1978-09-01 16:28:00,1,1
60,1978-09-21 21:19:00,2,0
61,1980-01-08 21:07:00,2,0
62,1980-02-04 02:30:00,2,0
63,1980-02-22 22:07:00,2,0
64,1980-03-18 00:23:00,2,0
65,1980-04-06 01:03:00,2,0
66,1980-04-30 23:47:00,2,0
67,1980-05-28 03:03:00,2,0
68,1980-06-13 00:35:00,2,0
69,1980-07-08 01:00:00,2,0
70,1980-08-02 01:42:00,2,0
71,1980-08-30 13:43:00,2,0
72,1980-09-28 08:12:00,2,0
73,1980-10-21 13:37:00,2,0
74,1980-11-12 02:04:00,2,0
